source-description,source-date,source-link,Notes
GOV.UK,Ongoing,https://www.gov.uk/government/ministers,
LGBT MP,2019-06-01,https://mps.whoare.lgbt,
LGBT Daily Spotlight,2019-06-15,https://lgbtdailyspotlight.com/november-23rd-2016-people/,Found via Wikipedia
Wikipedia,2019-06-15,"https://en.wikipedia.org/wiki/Ian_Duncan,_Baron_Duncan_of_Springbank",
Wikipedia,2019-06-15,https://en.wikipedia.org/wiki/List_of_LGBT_politicians_in_the_United_Kingdom,Some MPs and Lords listed here do not have verifiable sources
Wikipedia,2020-06-13,"https://en.wikipedia.org/wiki/Stephen_Parkinson,_Baron_Parkinson_of_Whitley_Bay",Wikipedia links to articles referencing Lord Parkinson's relationships with another man and links to the above 'List of LGBT politicians' page
